Site ID,Planned Kiosk Type,Installation Status ,PPT ID,Legacy ID,Borough,Council District,Community Board,Final Submission (A),GF Permit Application ID,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),Street Address,Cross_Street 1,Cross_Street 2,IxN Corner,Postcode,Zoning,Longitude,Latitude,Site in Business Improvement District (BID)?,BID,Link In Historic District,Historic District Name,Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot( BBL),Census Tract,Location2
bk-16-160031,Link5G_Ad,Installed,,,Brooklyn,42,316,08/09/2022,90268,,,370 BRISTOL STREET,LIVONIA AVENUE,RIVERDALE AVENUE,SW,11212,R7-2 / C2-4,-73.91080,40.66214,No,,,,Brownsville,,33585160001,916,POINT (-73.9108 40.66214)
mn-05-122136,Link5G_Ad,PreCX,122136,,Manhattan,,105,05/08/2024,,08/02/2024,10/01/2024,106 WEST 45TH STREET,AVENUE OF THE AMERICAS,West 45th ST,W,10036,C6-6,-73.98326,40.75700,,,,,Midtown-Midtown South,,1009970029,119,POINT (-73.983259 40.756996)
bk-03-gf34935,Link5G_NonAd,Ready for PreCx,,,Brooklyn,36,303,02/22/2024,,12/09/2024,02/07/2024,168 STUYVESANT AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,NW,11221,R6B,-73.93383,40.68970,No,,,,Stuyvesant Heights,3044302,3016260010,BK-291,POINT (-73.9338303 40.6897028)
bx-09-gf22752,Link5G_Ad,PreCx,,,Bronx,18,209,08/09/2022,90372,12/16/2024,02/13/2025,1530 UNION PORT ROAD,BANGLA BAZAAR,Metropolitan Oval,N,10462,R6 / C2-2,-73.85723,40.83695,No,,0,,Parkchester,2096719,2039437501,bx-210.02,POINT (-73.85723 40.83695)
qu-02-gf44782,Link5G_NonAd,Planning,,,Queens,26,402,08/09/2022,90413,01/04/2023,03/05/2023,47-40 CENTER BOULEVARD,47th Rd,48th Ave,W,11101,M3-1,-73.95743,40.74546,No,,0,,Hunters Point-Sunnyside-West Maspeth,4594829,4000190021,qu-1,POINT (-73.95743 40.74546)
mn-08-gf0926,Link5G_NonAd,Planning,,,Manhattan,5,108,,,07/25/2024,10/21/2024,510 EAST 71ST STREET,FDR DRIVE,YORK AVENUE,MIDBLOCK,10021,R9,-73.95282,40.76551,No,,,,Lenox Hill-Roosevelt Island,1081252,1014820040,mn-124,POINT (-73.9528245 40.7655067)
mn-05-134444,Link5G_Ad,Ready for PreCx,134444,mn-05-134444,Manhattan,3,105,05/08/2024,,08/02/2024,10/30/2024,831 6 AVENUE,WEST 29 STREET,WEST 28 STREET,SW,10001,C6-4X,-73.99024,40.74662,Yes,Flatiron/Nomad,,,Midtown-Midtown South,1015123,1008040042,1009500,POINT (-73.990241 40.746619)
mn-01-gf0974,Link5G_NonAd,Ready for PreCx,,,Manhattan,1,101,05/08/2024,,07/25/2024,10/21/2024,110 WILLIAM STREET,WILLIAM STREET,GOLD STREET,,10038,C6-4,-74.00716,40.70868,,Downtown Alliance BID,,,,,,,POINT (-74.0071646 40.7086765)
mn-02-gf0916,Link5G_Ad,PreCx,,,Manhattan,3,102,08/09/2022,90255,10/17/2022,12/16/2022,100 JANE STREET,WASHINGTON STREET,WEST STREET,N,10014,C1-7A,-74.00835,40.73760,No,,0,,West Village,1084803,1006410017,mn-79,POINT (-74.00835 40.7376)
mn-12-GF0874,Link5G_NonAd,Ready for PreCx,,,Manhattan,10,112,03/01/2024,,05/27/2025,07/26/2025,701 FORT WASHINGTON AVENUE,WEST 190TH STREET,CABRINI BOULEVARD,MIDBLOCK,10040,R7-2,-73.93506,40.85797,No,,,,Washington Heights North,1089189,1021790600,MH-273,POINT (-73.9350592 40.8579679)
mn-05-gf0981,Link5G_Ad,Ready for PreCx,,,Manhattan,4,105,05/08/2024,,08/02/2024,10/30/2024,335 MADISON AVENUE,EAST 43RD STREET,EAST 44TH STREET,,10017,C5-3,-73.97862,40.75354,,Grand Central Partnership,,,,,1012780020,94,POINT (-73.978615 40.7535404)
bk-16-158935,Link1.0,Installed,,,Brooklyn,42,316,01/28/2022,90175,04/08/2022,06/07/2022,9829 DITMAS AVENUE,BRISTOL STREET,CHESTER STREET,N,11236,M1-1,-73.90799,40.65255,No,,0,,Brownsville,3083057,3036420001,BK-922,POINT (-73.90799 40.65255)
qu-10-160077,Link5G_NonAd,Installed,,,Queens,28,410,05/19/2023,,04/26/2024,06/25/2024,129-15 150 AVENUE,150TH STREET,SOUTH CONDUIT AVENUE,NE,11420,R3-2,-73.81183,40.66522,No,,,,South Ozone Park,4257530,4118820001,BK-846.02,POINT (-73.8118342 40.66522)
mn-06-121358,Link5G_Ad,Ready for PreCx,121358,,Manhattan,4,106,05/08/2024,,07/31/2024,10/28/2024,203 EAST 45 STREET,3 AVENUE,2 AVENUE,NE,10017,C5-3,-73.97284,40.75266,Yes,Grand Central,,,Turtle Bay-East Midtown,1037598,1013190104,1009000,POINT (-73.97284287 40.75266482)
mn-08-119917,Link5G_NonAd,Ready for PreCx,119917,,Manhattan,4,108,12/09/2024,,01/09/2025,03/12/2025,1150 Madison Avenue,EAST 86TH STREET,EAST 85TH STREET,SW,10028,R10,-73.95903,40.78074,Yes,Madison AVE BID,,,Upper East Side-Carnegie Hill,1046842,1066920001,1015001,POINT (-73.9590271 40.7807367)
mn-02-gf0918,Link5G_Ad,PreCx,,,Manhattan,3,102,08/09/2022,90257,10/18/2022,12/17/2022,100 HORATIO STREET,WASHINGTON STREET,WEST STREET,S,10014,C6-2A,-74.00828,40.73872,No,,0,,West Village,1085734,1006427502,mn-79,POINT (-74.00828 40.73872)
mn-04-122406,Link5G_Ad,Ready for PreCx,134852,,Manhattan,3,104,05/08/2024,,07/25/2024,10/21/2024,560 WEST 42 STREET,11 AVENUE,10 AVENUE,SE,10036,C1-9,-73.99820,40.76066,No,Hudson Yards/Hell's Kitchen,,,Murray Hill-Kips Bay,1018483,1008880044,1007200,POINT (-73.99820283 40.76065999)
qu-10-gf44897,Link5G_NonAd,Ready for PreCx,,,Queens,28,410,02/22/2024,,12/12/2024,02/11/2025,130-02 115TH AVENUE,130TH STREET,131ST STREET,SE,11420,R3-2,-73.81055,40.67952,,,,,SOUTH OZONE PARK,,,4084000,POINT (-73.8105498 40.6795208)
mn-01-gf0969,Link5G_Ad,Ready for PreCx,,,Manhattan,1,101,05/08/2024,,07/25/2024,10/21/2024,75 SOUTH STREET,MAIDEN LANE,WALL STREET,,10038,C5-3,-74.00499,40.70516,,Downtown Alliance BID,,,,,,,POINT (-74.0049878 40.7051578)
bx-09-gf22757,Link5G_Ad,Planning,,,Bronx,18,209,08/09/2022,90205,12/16/2024,02/13/2025,1368 METROPOLITAN AVENUE,McGraw Avenue,Wood Avenue,NE,10462,C4-2,-73.86088,40.83473,No,,0,,Parkchester,2096680,2039377501,bx-212,POINT (-73.8608784 40.834734)
bk-18-gf34892,Link5G_NonAd,PreCx,,,Brooklyn,42,318,08/09/2022,90404,10/02/2024,12/02/2024,875 WILLIAMS AVENUE,Stanley Ave,Glenwood Road,E,11207,M1-1,-73.89683,40.65395,No,,,,East New York,3086087,3038820055,bk-1098,POINT (-73.89683 40.65395)
mn-04-142001,Link5G_Ad,Ready for PreCx,142001,,Manhattan,3,104,05/08/2024,,07/25/2024,10/21/2024,701 8 AVENUE,WEST 44 STREET,WEST 45 STREET,NW,10036,C6-4,-73.98890,40.75867,Yes,Times Square,,,Clinton,1024991,1010350029,1012100,POINT (-73.98890049 40.75866608)
mn-08-gf0952,Link5G_NonAd,Ready for PreCx,,,Manhattan,5,108,05/08/2024,,07/25/2024,10/21/2024,ACROSS FROM 500 EAST 63RD STREET,YORK AVENUE,FDR DRIVE,,10065,R9,-73.95737,40.76107,,,,,,,,,POINT (-73.9573706 40.7610684)
mn-12-gf0873,Link5G_NonAd,PreCx,,,Manhattan,10,112,08/09/2022,90245,05/27/2025,07/26/2025,689 FT WASHINGTON AVENUE,CABRINI BOULEVARD,FORT WASINGTON AVENUE,N,10040,R7-2,-73.93639,40.85735,No,,0,,Washington Heights North,1064372,1021790500,MH-273,POINT (-73.93639 40.85735)
qu-12-157688,Link5G_Ad,Installed,,,Queens,27,412,10/08/2021,90068,10/28/2021,12/27/2021,182-46 HILLSIDE AVENUE,HILLSIDE AVENUE,89TH AVENUE,W,11423,C2-4,-73.77886,40.71363,No,,0,,Jamaica,4212432,4099190034,QU-470,POINT (-73.77886 40.71363)
qu-02-gf44788,Link5G_Ad,Ready for PreCx,,,Queens,26,402,02/22/2024,,12/12/2024,02/11/2025,2-02 Borden Avenue,Borden Ave,54th Ave,SE,11101,R10 / C2-5,-73.95887,40.74194,No,,,,Hunters Point-Sunnyside-West Maspeth,4541408,4000150001,qu-1,POINT (-73.9588655 40.741939)
mn-12-GF0880,Link5G_NonAd,PreCx,,,Manhattan,10,112,08/09/2022,,05/27/2025,07/26/2025,100 OVERLOOK TERRACE,WEST 190 STREET,WEST 187 STREET,E,10040,R7-2,-73.93475,40.85678,No,,,,Washington Heights North,1064452,1021800450,MH-281,POINT (-73.9347509 40.8567832)
qu-02-gf44789,Link5G_NonAd,PreCx,,,Queens,26,402,08/09/2022,90420,01/04/2023,03/05/2023,45-21 5TH STREET,N Basin Rd,46th Ave,W,11101,M3-1,-73.95496,40.74777,No,,0,,Hunters Point-Sunnyside-West Maspeth,4541713,4000210020,qu-1,POINT (-73.95496 40.74777)
mn-01-gf0971,Link5G_Ad,Ready for PreCx,,,Manhattan,1,101,07/25/2024,,05/05/2025,08/05/2025,77 WATER STREET,GOUVERNEUR LANE,OLD SLIP,,10005,C6-9,-74.00783,40.70423,,Downtown Alliance BID,,,Financial District-Battery Park City,1000863,1000330001,1000700,POINT (-74.0078272 40.7042302)
bk-16-154816,Link1.0,Ready for Installation,,,Brooklyn,41,316,08/31/2021,90025,09/21/2021,11/22/2021,1412 EASTERN PARKWAY,EASTERN PARKWAY,HOWARD AVENUE,NE,11233,C2-4,-73.92140,40.66851,No,,,,Ocean Hill,3039551,3014750035,361,POINT (-73.9214 40.66851)
qu-01-160090,Link5G_Ad,Installed,,,Queens,22,401,05/19/2023,,04/12/2024,06/11/2024,18-01 20TH AVENUE,18TH STREET,SHORE BOULEVARD,NE,11105,M3-1,-73.91448,40.78561,No,,,,Steinway,4451408,4008500001,QU-107.01,POINT (-73.91448 40.78561)
bk-16-158880,Link1.0,Installed,,,Brooklyn,42,316,01/28/2022,90176,,,12 NEWPORT STREET,NEWPORT STREET,EAST 98TH STREET,W,11212,C1-3,-73.91474,40.65835,No,,0,,Brownsville,3082397,3036070008,BK-896,POINT (-73.91474 40.65835)
mn-05-gf0960,Link5G_Ad,Ready for PreCx,,,Manhattan,4,105,05/08/2024,,08/02/2024,10/30/2024,480 PARK AVENUE,PARK AVENUE,MADISON AVENUE,,10022,C5-2,-73.97055,40.76244,,East Midtown Partnership,,,,,1012940033,11202,POINT (-73.9705534 40.7624431)
mn-01-GF0984,Link5G_NonAd,Ready for PreCx,,,Manhattan,1,101,07/25/2024,,05/05/2025,08/05/2025,175 NORTH END AVENUE,MURRAY STREET,RIVER TERRACE,,10282,C6-4,-74.01559,40.71573,No,,,,Financial District-Battery Park City,1087518,1000167516,1031703,POINT (-74.0155917 40.7157307)
qu-12-157212,Link5G_Ad,Installed,,,Queens,27,412,10/08/2021,90079,10/28/2021,12/27/2021,175-06 HILLSIDE AVENUE,175TH STREET,Hillside Ave,E,11432,C2-4,-73.78770,40.71162,No,,0,,Jamaica,,4098340010,QN-462,POINT (-73.7877 40.71162)
mn-06-121822,Link5G_Ad,Ready for PreCx,121822,,Manhattan,4,106,05/08/2024,,07/31/2024,10/28/2024,798 3 AVENUE,EAST 49 STREET,EAST 50 STREET,NW,10022,C6-6,-73.97125,40.75536,Yes,East Midtown,,,Turtle Bay-East Midtown,1036446,1013040033,1010000,POINT (-73.97125096 40.75535623)
mn-01-gf0973,Link5G_Ad,Ready for PreCx,,,Manhattan,1,101,07/25/2024,,05/05/2025,08/05/2025,39 SOUTH STREET,OLD SLIP,BROAD STREET,NW,10004,C6-9,-74.00838,40.70302,,Downtown Alliance BID,,,Financial District-Battery Park City,1083346,1009000032,1000900,POINT (-74.0083804 40.7030156)
bx-09-gf22758,Link5G_NonAd,Planning,,,Bronx,18,209,08/09/2022,90206,12/16/2024,02/13/2025,2151 SAINT RAYMOND AVENUE,Odell Street,Purdy Street,NE,10462,R6 / C2-2,-73.85430,40.83763,No,,0,,Parkchester,2033973,2039430001,bx-210.02,POINT (-73.8543002 40.8376309)
mn-07-120527,Link5G_Ad,Ready for PreCx,120527,mn-07-120527,Manhattan,7,107,05/08/2024,,08/02/2024,10/30/2024,741 COLUMBUS AVENUE,WEST 97 STREET,WEST 96 STREET,SE,10025,C1-9,-73.96701,40.79338,No,,,,Upper West Side,1055254,1018327502,1018100,POINT (-73.96701 40.79338)
qu-02-gf44784,Link5G_NonAd,PreCx,,,Queens,26,402,11/01/2023,90415,05/29/2024,07/28/2024,47-05 CENTER BOULEVARD,46th Ave,47th Ave,MIDBLOCK,11101,M3-1,-73.95631,40.74683,No,,,,Hunters Point-Sunnyside-West Maspeth,4536823,4000210040,qu-1,POINT (-73.9563068 40.7468301)
qu-02-gf44785,Link5G_NonAd,PreCx,,,Queens,26,402,08/09/2022,90416,01/04/2023,03/05/2023,5-09 48 AVENUE,5th St,Vermon Blvd,N,11101,M1-4/R7A,-73.95581,40.74458,No,,0,,Hunters Point-Sunnyside-West Maspeth,4536962,4000307501,qu-7,POINT (-73.95581 40.74458)
qu-12-gf44833,Link5G_NonAd,Ready for Installation,,,Queens,28,412,08/09/2022,90357,,,134-02 GUY R BREWER BLVD,GUY R BREWER BOULEVARD,161ST STREET,S,11434,R3-1,-73.77586,40.67328,No,,0,,Springfield Gardens North,4266612,4123000006,qu-294,POINT (-73.77586 40.67328)
mn-08-136969,Link5G_Ad,Ready for PreCx,136969,,Manhattan,4,108,05/08/2024,,07/25/2024,10/21/2024,650 MADISON AVENUE,EAST 59 STREET,EAST 60 STREET,NW,10022,C5-3,-73.97142,40.76374,No,,,,Upper East Side-Carnegie Hill,1040753,1013740014,1011401,POINT (-73.971424 40.763742)
mn-05-122814,Link5G_Ad,Ready for PreCx,122814,mn-05-122814,Manhattan,4,105,05/08/2024,,08/02/2024,10/30/2024,1100 6 AVENUE,WEST 42 STREET,WEST 43 STREET,NE,10036,C6-6,-73.98390,40.75495,Yes,Bryant Park/34th St,,,Midtown-Midtown South,1034195,1012580001,1009600,POINT (-73.983899 40.754951)
mn-01-gf0979,Link5G_Ad,Ready for PreCx,,,Manhattan,1,101,05/08/2024,,07/25/2024,10/21/2024,100 NORTH MOORE STREET,WEST STREET,GREENWICH STREET,,10007,C6-4,-74.01147,40.72017,,,,,,,,,POINT (-74.0114699 40.7201654)
bk-16-158025,Link1.0,Installed,,,Brooklyn,42,316,01/28/2022,90173,04/08/2022,06/07/2022,508 JUNIUS STREET,JUNIUS STREET,POWELL STREET,S,11212,M1-1,-73.90120,40.66205,No,,0,,Brownsville,3085323,3038310025,BK-918,POINT (-73.9012 40.66205)
bk-01-gf34906,Link5G_NonAd,Planning,,,Brooklyn,33,301,08/09/2022,90319,01/04/2023,03/05/2023,419 KENT AVENUE,SOUTH 8TH STREET,BROADWAY,E,11249,C4-3,-73.96845,40.71015,No,,,,North Side-South Side,3059494,3021290001,bk-549,POINT (-73.96845 40.71015)
